Departmets|Groups|Job Type|Marital Status|Age|Business Unit|Hire Date|Emp.Type|Sick Days|Balance Days|Years in current role|Years since last promition|Education|Job Involvement|Job Satisfaction|Performance Rating|Relationship Satisfaction|WorkLife Balance|Last Name|Gender|Salary|Job Classification
Media Relations|Group B|Full Time|Single|45|Los Angeles|11/03/2013|Non Active|7|9|1 Year|2 Years|Doctor|Very High|Very High|Outstanding|Low|Bad|Spencer|Female|89552|White Collar
Advertising|Group B|Full Time|Married|57|Los Angeles|07/21/2017|Non Active|12|12|3 Years|3 Years|Bachelor|Very High|High|Low|Very High|Better|Porter|Female|82645|White Collar
Quality Assurance|Group A|Full Time|Divorced|32|Seattle|07/26/2013|Active|3|16|2 Years|1 Year|College|Very High|High|Outstanding|Low|Best|Solomon|Male|111767|White Collar
Tech Support|Group A|Part Time|Married|64|Seattle|11/09/2013|Non Active|2|7|2 Years|1 Year|College|Very High|Low|Excellent|Low|Best|Russo|Female|112296|Blue Collar
Customer Service|Group D|Part Time|Married|26|Houston|10/01/2014|Non Active|6|8|1 Year|2 Years|Masters|High|High|Excellent|Very High|Good|Lindsey|Male|106679|White Collar
Research and Development|Group D|Part Time|Single|35|Houston|01/31/2014|Active|9|13|1 Year|3 Years|College|Medium|Low|Excellent|Medium|Good|Green|Female|85830|Blue Collar
Media Relations|Group A|Part Time|Single|38|Los Angeles|12/01/2013|Non Active|8|17|1 Year|2 Years|Bachelor|High|Very High|Good|Medium|Bad|Lowery|Female|77993|Blue Collar
Sales and Marketing|Group A|Part Time|Single|24|Houston|12/22/2018|Non Active|7|9|2 Years|1 Year|College|Medium|Medium|Excellent|Low|Better|Johnson|Male|96860|Other
Human Resources|Group C|Full Time|Divorced|38|Houston|08/05/2013|Active|8|18|2 Years|3 Years|Bachelor|High|Very High|Excellent|Medium|Best|Flowers|Male|106439|Other
Public Relations|Group B|Full Time|Divorced|26|Houston|07/16/2017|Non Active|1|19|2 Years|1 Year|College|High|High|Low|Very High|Bad|Murray|Female|102792|Other
Finances|Group C|Full Time|Married|37|Los Angeles|07/25/2015|Non Active|3|20|2 Years|3 Years|Masters|Medium|Low|Excellent|Medium|Best|Hinton|Female|119363|White Collar
Asset Management|Group B|Full Time|Married|50|Houston|11/07/2017|Non Active|3|10|1 Year|1 Year|College|Low|High|Outstanding|High|Best|Hobbs|Male|100880|Blue Collar
Sales and Marketing|Group D|Full Time|Married|44|New York City|09/18/2017|Active|6|16|2 Years|3 Years|Bachelor|High|Low|Outstanding|Very High|Bad|Hunter|Male|85959|White Collar
Sales and Marketing|Group D|Full Time|Single|49|Houston|12/14/2015|Active|12|8|3 Years|3 Years|Masters|Medium|Very High|Low|High|Best|Hardy|Male|96676|White Collar
Sales and Marketing|Group C|Full Time|Divorced|41|New York City|05/22/2013|Non Active|3|13|1 Year|3 Years|College|Very High|Very High|Good|Medium|Bad|Armstrong|Female|91889|White Collar
Research and Development|Group A|Full Time|Single|52|Los Angeles|10/29/2017|Non Active|4|18|2 Years|1 Year|Doctor|High|Low|Good|Medium|Better|Merritt|Female|96416|Blue Collar
Quality Assurance|Group B|Part Time|Single|47|Seattle|06/16/2017|Non Active|7|8|1 Year|3 Years|Bachelor|Low|Medium|Low|Medium|Bad|Hess|Female|89907|Other
Accounting|Group D|Part Time|Single|64|Seattle|07/13/2014|Active|5|20|3 Years|2 Years|Bachelor|Low|Low|Good|Very High|Best|Bruce|Female|78146|White Collar
Accounting|Group C|Full Time|Married|39|Seattle|11/03/2014|Active|8|19|2 Years|1 Year|Bachelor|Very High|Low|Good|High|Better|Kelley|Male|81861|White Collar
Customer Relations|Group D|Full Time|Single|25|New York City|09/23/2018|Non Active|7|14|3 Years|3 Years|Bachelor|Medium|Medium|Excellent|Very High|Better|Little|Male|93386|Other
Human Resources|Group D|Full Time|Single|26|Houston|09/07/2014|Non Active|3|19|1 Year|3 Years|Bachelor|High|Medium|Excellent|High|Bad|Brooks|Female|89110|Blue Collar
Advertising|Group D|Part Time|Divorced|56|New York City|02/07/2014|Non Active|12|16|3 Years|2 Years|College|Medium|Very High|Low|Medium|Better|Garner|Male|104168|Other
Asset Management|Group D|Full Time|Married|46|Los Angeles|01/06/2014|Active|10|16|3 Years|2 Years|Masters|Low|High|Outstanding|High|Better|Keith|Female|93013|Other
Tech Support|Group D|Full Time|Single|39|Houston|05/07/2015|Active|5|14|3 Years|3 Years|Bachelor|Low|High|Outstanding|High|Good|Joyner|Female|79830|Other
Sales and Marketing|Group C|Full Time|Married|30|Los Angeles|10/25/2018|Active|8|12|3 Years|2 Years|Bachelor|Medium|Low|Outstanding|Low|Best|Mcintosh|Female|78585|Other
Accounting|Group D|Part Time|Single|62|Seattle|11/08/2015|Active|4|12|1 Year|2 Years|Doctor|Low|Medium|Excellent|Low|Best|Richards|Female|81509|Blue Collar
Customer Relations|Group B|Part Time|Married|63|Los Angeles|02/14/2015|Non Active|7|13|2 Years|2 Years|Doctor|High|High|Outstanding|Low|Better|Albert|Male|98731|White Collar
Legal Department|Group C|Part Time|Divorced|62|Los Angeles|05/16/2018|Non Active|7|14|2 Years|1 Year|Doctor|High|Low|Excellent|Low|Bad|Olsen|Female|101606|White Collar
Quality Assurance|Group D|Part Time|Married|63|Los Angeles|07/24/2013|Active|4|13|1 Year|3 Years|Doctor|Medium|Low|Low|High|Best|Case|Male|96245|Other
Public Relations|Group D|Full Time|Married|52|Houston|08/10/2013|Active|3|11|2 Years|2 Years|Doctor|High|Very High|Excellent|High|Better|Levine|Female|72043|White Collar
Human Resources|Group B|Part Time|Married|57|Los Angeles|01/04/2015|Active|9|10|3 Years|2 Years|Doctor|Medium|Low|Outstanding|Low|Better|Collier|Male|108789|White Collar
Research and Development|Group C|Part Time|Single|60|Los Angeles|12/03/2018|Non Active|9|12|3 Years|2 Years|Masters|Low|High|Good|Medium|Good|Kline|Female|91239|Other
Sales and Marketing|Group A|Part Time|Married|49|Seattle|01/12/2018|Non Active|11|18|3 Years|2 Years|Bachelor|High|Low|Outstanding|Medium|Bad|Mcleod|Female|90654|Other
Human Resources|Group C|Full Time|Married|59|Seattle|12/25/2014|Non Active|6|7|3 Years|1 Year|College|Low|Very High|Good|Very High|Best|Pennington|Female|73727|Blue Collar
Customer Service|Group D|Full Time|Single|36|Los Angeles|04/18/2016|Active|9|16|1 Year|2 Years|Masters|Medium|Low|Good|Low|Better|Gomez|Female|79561|White Collar
Finances|Group A|Part Time|Single|25|Houston|05/21/2018|Active|4|19|1 Year|3 Years|Doctor|Low|Medium|Outstanding|High|Bad|Clayton|Male|104693|Other
Media Relations|Group A|Part Time|Married|38|Los Angeles|04/26/2015|Non Active|3|11|3 Years|3 Years|Masters|High|Very High|Excellent|Very High|Best|Stewart|Female|114298|Blue Collar
Accounting|Group B|Full Time|Divorced|63|New York City|12/07/2013|Active|5|16|3 Years|1 Year|Bachelor|Very High|Low|Outstanding|Medium|Bad|Odom|Female|92505|White Collar
Public Relations|Group D|Part Time|Married|40|Seattle|12/07/2017|Non Active|11|16|3 Years|2 Years|College|Very High|Low|Good|High|Bad|Hartman|Male|95209|Other
Sales and Marketing|Group B|Part Time|Single|54|Los Angeles|07/08/2016|Non Active|10|17|2 Years|1 Year|College|High|Low|Low|Very High|Bad|Barron|Male|91066|Blue Collar
Customer Service|Group B|Full Time|Divorced|32|Seattle|08/02/2013|Active|5|16|3 Years|2 Years|College|Low|High|Good|Low|Bad|Guzman|Female|108396|White Collar
Research and Development|Group C|Full Time|Married|61|Los Angeles|10/28/2017|Active|1|16|2 Years|2 Years|Bachelor|Medium|Medium|Good|High|Bad|Walker|Male|110538|White Collar
Tech Support|Group B|Full Time|Married|60|Seattle|06/25/2013|Active|10|9|3 Years|3 Years|Bachelor|High|Medium|Excellent|Medium|Best|Yang|Female|99739|White Collar
Advertising|Group B|Full Time|Married|60|New York City|02/25/2017|Active|12|20|2 Years|2 Years|Masters|Very High|Very High|Good|Very High|Better|Farley|Male|76697|Other
Customer Service|Group B|Part Time|Married|59|Houston|03/04/2015|Non Active|10|20|3 Years|1 Year|Bachelor|Medium|Medium|Good|Low|Bad|Perkins|Female|117988|White Collar
Public Relations|Group C|Full Time|Married|41|Seattle|02/26/2018|Non Active|9|9|2 Years|3 Years|Masters|Very High|Low|Good|Very High|Bad|Carver|Male|93209|Other
Customer Service|Group A|Part Time|Divorced|64|Houston|09/06/2016|Active|2|15|3 Years|1 Year|Bachelor|High|Low|Low|Very High|Bad|Galloway|Male|106038|Other
Accounting|Group A|Full Time|Married|61|Seattle|01/13/2016|Active|11|19|2 Years|1 Year|College|High|Low|Good|Very High|Best|Peck|Female|90799|White Collar
Customer Service|Group C|Part Time|Divorced|62|Seattle|09/13/2018|Non Active|2|5|2 Years|3 Years|Bachelor|Medium|Low|Outstanding|Low|Best|Koch|Female|103479|Blue Collar
Tech Support|Group B|Full Time|Single|47|Seattle|07/24/2017|Active|3|9|3 Years|3 Years|Doctor|High|Medium|Good|Very High|Good|Bauer|Female|86900|White Collar
Asset Management|Group A|Part Time|Single|42|New York City|07/27/2017|Active|12|14|3 Years|1 Year|College|Medium|High|Good|High|Bad|Bell|Male|117115|Blue Collar
Advertising|Group C|Part Time|Single|55|Los Angeles|03/09/2015|Active|9|19|1 Year|2 Years|Bachelor|Very High|Very High|Low|Medium|Good|Blackwell|Female|100644|Other
Research and Development|Group D|Full Time|Married|61|Los Angeles|07/10/2017|Non Active|11|16|2 Years|1 Year|Bachelor|Medium|Low|Outstanding|High|Better|Mcclain|Male|74626|Other
Customer Relations|Group A|Full Time|Single|64|Houston|09/06/2016|Non Active|10|8|3 Years|3 Years|Doctor|Medium|Low|Low|Very High|Best|Woods|Female|89991|Other
Sales and Marketing|Group B|Full Time|Single|24|Seattle|07/19/2017|Active|6|12|3 Years|3 Years|College|High|Low|Outstanding|High|Good|Rutledge|Male|118988|Other
Finances|Group B|Full Time|Divorced|26|New York City|09/07/2017|Active|11|11|2 Years|3 Years|Doctor|Very High|High|Outstanding|High|Good|Willis|Male|99692|Blue Collar
Asset Management|Group C|Full Time|Single|58|New York City|12/18/2014|Non Active|7|20|1 Year|2 Years|Doctor|Low|Low|Low|High|Bad|West|Female|101100|White Collar
Accounting|Group D|Full Time|Divorced|42|Seattle|10/26/2018|Active|8|8|2 Years|2 Years|College|High|Very High|Excellent|Medium|Bad|Fields|Female|90411|White Collar
Finances|Group B|Full Time|Married|50|Houston|02/01/2018|Non Active|3|16|2 Years|3 Years|Bachelor|Low|Medium|Outstanding|High|Good|Weiss|Female|92564|Other
Customer Service|Group A|Full Time|Single|54|New York City|07/13/2018|Non Active|5|17|1 Year|1 Year|Doctor|High|Medium|Excellent|Low|Bad|Robinson|Male|100126|White Collar
Quality Assurance|Group C|Full Time|Divorced|44|New York City|08/31/2013|Non Active|5|20|2 Years|2 Years|Masters|Low|Low|Outstanding|High|Good|Paul|Female|74473|Blue Collar
Tech Support|Group A|Part Time|Divorced|50|New York City|07/26/2013|Active|6|18|2 Years|2 Years|Bachelor|Low|Very High|Outstanding|Low|Best|Wooten|Male|112866|White Collar
Accounting|Group A|Part Time|Married|55|Los Angeles|10/25/2016|Non Active|9|16|3 Years|3 Years|Bachelor|Low|Low|Good|Very High|Better|Bauer|Female|90025|White Collar
Asset Management|Group B|Full Time|Divorced|26|Los Angeles|03/05/2013|Active|5|13|3 Years|3 Years|Doctor|Very High|Medium|Outstanding|Very High|Best|Lester|Male|100373|White Collar
Asset Management|Group B|Full Time|Married|64|Houston|04/28/2016|Non Active|4|20|2 Years|2 Years|Bachelor|High|High|Outstanding|Low|Good|Aguirre|Female|78222|Blue Collar
Research and Development|Group D|Full Time|Married|25|Houston|02/26/2014|Non Active|4|8|1 Year|2 Years|Doctor|High|High|Excellent|Low|Better|Moon|Male|93839|White Collar
Asset Management|Group A|Full Time|Married|45|Seattle|03/30/2015|Active|10|15|3 Years|2 Years|Doctor|Medium|Low|Excellent|High|Bad|Hill|Male|117220|Other
Customer Service|Group D|Full Time|Divorced|28|New York City|06/25/2013|Active|5|12|1 Year|1 Year|Masters|Low|High|Good|High|Better|Joseph|Female|88078|Blue Collar
Media Relations|Group B|Part Time|Single|36|Los Angeles|08/12/2017|Active|11|5|2 Years|2 Years|Masters|Very High|Medium|Low|Medium|Bad|Vaughan|Female|111565|White Collar
Payroll|Group B|Part Time|Divorced|53|Houston|08/13/2016|Active|2|8|1 Year|3 Years|Doctor|Medium|Very High|Outstanding|High|Bad|House|Female|95886|Other
Accounting|Group B|Part Time|Married|54|Seattle|02/05/2013|Active|1|6|2 Years|1 Year|Bachelor|Medium|High|Good|Low|Bad|Flowers|Female|87440|Blue Collar
Finances|Group C|Full Time|Divorced|30|Houston|01/16/2015|Non Active|8|11|2 Years|1 Year|Masters|Low|High|Excellent|Very High|Bad|Levy|Female|98213|Other
Payroll|Group C|Part Time|Married|49|Seattle|11/25/2018|Non Active|3|17|2 Years|3 Years|Doctor|Medium|Medium|Low|Very High|Better|Gay|Female|102769|Blue Collar
Sales and Marketing|Group B|Full Time|Married|56|Seattle|08/13/2017|Active|6|20|2 Years|3 Years|College|Low|High|Good|Low|Good|Jacobson|Female|77469|Blue Collar
Tech Support|Group C|Part Time|Divorced|34|Los Angeles|02/19/2015|Non Active|4|15|2 Years|2 Years|Doctor|High|Medium|Outstanding|Very High|Good|Chan|Male|77345|Other
Payroll|Group A|Full Time|Married|43|Houston|08/07/2018|Active|3|6|3 Years|1 Year|Bachelor|Very High|Low|Low|Very High|Best|Ortega|Female|100344|White Collar
Quality Assurance|Group D|Part Time|Married|44|Los Angeles|11/06/2014|Active|8|17|3 Years|2 Years|Doctor|Low|Very High|Low|High|Good|Schroeder|Female|102358|Other
Human Resources|Group B|Part Time|Married|65|Los Angeles|07/01/2018|Active|9|11|2 Years|1 Year|Masters|Medium|High|Excellent|High|Best|Marquez|Female|98141|Blue Collar
Customer Relations|Group D|Part Time|Divorced|65|Seattle|05/29/2018|Non Active|2|14|1 Year|2 Years|College|Medium|Low|Low|Low|Good|Fleming|Female|118377|Blue Collar
Tech Support|Group B|Part Time|Divorced|62|Los Angeles|08/15/2016|Active|7|14|3 Years|1 Year|College|Low|Very High|Outstanding|Very High|Best|Gardner|Female|112045|Other
Quality Assurance|Group B|Part Time|Single|65|Los Angeles|08/01/2017|Non Active|2|11|2 Years|2 Years|Bachelor|Very High|Low|Low|Very High|Best|Hanson|Female|111826|Blue Collar
Research and Development|Group C|Full Time|Married|39|Houston|01/31/2014|Active|11|11|2 Years|2 Years|Doctor|Medium|Very High|Low|Medium|Good|George|Female|107634|Blue Collar
Human Resources|Group C|Full Time|Single|56|New York City|01/25/2018|Non Active|8|13|2 Years|1 Year|Doctor|Low|Low|Outstanding|Low|Better|Sexton|Female|77184|Other
Finances|Group A|Part Time|Divorced|53|New York City|04/14/2017|Active|10|7|2 Years|2 Years|Bachelor|Medium|Very High|Low|Medium|Better|Moss|Female|95382|Other
Sales and Marketing|Group D|Part Time|Divorced|32|New York City|03/10/2013|Active|4|12|3 Years|2 Years|Bachelor|Low|Low|Excellent|Low|Bad|Clark|Male|73418|White Collar
Payroll|Group C|Full Time|Married|38|Los Angeles|07/26/2018|Non Active|12|9|3 Years|3 Years|College|Low|Low|Excellent|Very High|Bad|Moss|Male|85375|White Collar
Advertising|Group C|Part Time|Married|64|Houston|06/20/2014|Active|2|18|3 Years|3 Years|College|Medium|Very High|Good|Medium|Better|Gonzalez|Male|88039|Blue Collar
Human Resources|Group D|Part Time|Divorced|54|Los Angeles|08/05/2014|Active|7|5|2 Years|3 Years|Doctor|High|Medium|Good|Medium|Bad|Evans|Female|88863|White Collar
Media Relations|Group C|Part Time|Divorced|26|Seattle|02/11/2017|Active|7|17|2 Years|1 Year|College|Medium|High|Low|Very High|Better|Cooley|Male|102061|Other
Advertising|Group D|Full Time|Married|55|Seattle|01/16/2018|Active|2|17|3 Years|3 Years|College|Low|Medium|Low|Low|Best|Kirby|Female|103579|Other
Asset Management|Group A|Part Time|Single|36|Seattle|03/12/2016|Non Active|11|12|2 Years|1 Year|Bachelor|Low|Medium|Good|Very High|Bad|Castro|Male|108051|White Collar
Advertising|Group C|Part Time|Divorced|59|Seattle|02/02/2016|Non Active|3|10|1 Year|1 Year|Doctor|Low|High|Good|Medium|Better|Kramer|Male|87031|Other
Public Relations|Group A|Full Time|Divorced|26|Los Angeles|02/26/2017|Active|3|14|2 Years|2 Years|Doctor|High|High|Low|Low|Good|Wynn|Female|110093|Blue Collar
Research and Development|Group B|Full Time|Single|32|New York City|02/03/2013|Active|12|9|1 Year|1 Year|College|High|Medium|Outstanding|Low|Better|Silva|Female|115579|White Collar
Finances|Group D|Full Time|Divorced|27|New York City|11/22/2016|Non Active|1|8|2 Years|2 Years|College|High|High|Good|Medium|Good|Garner|Male|109083|Blue Collar
Customer Service|Group D|Part Time|Single|28|Seattle|07/12/2018|Active|1|13|1 Year|1 Year|Masters|Low|Low|Outstanding|High|Good|White|Male|71919|Blue Collar
Advertising|Group D|Full Time|Married|50|Seattle|10/23/2018|Active|12|11|3 Years|3 Years|College|Very High|Low|Low|Very High|Better|Pratt|Male|119817|White Collar
Legal Department|Group D|Part Time|Married|62|Los Angeles|03/16/2016|Non Active|12|14|1 Year|1 Year|Bachelor|High|Medium|Outstanding|Very High|Better|Wheeler|Male|94817|White Collar
Tech Support|Group B|Full Time|Married|60|Seattle|08/06/2018|Active|9|11|3 Years|1 Year|Masters|Medium|Low|Outstanding|Very High|Bad|Newton|Female|102809|Blue Collar
Payroll|Group A|Full Time|Divorced|64|Seattle|12/02/2018|Non Active|7|11|2 Years|3 Years|College|Very High|Low|Excellent|Very High|Bad|Moreno|Female|79637|Other
Tech Support|Group D|Part Time|Divorced|50|New York City|08/02/2017|Active|10|5|3 Years|2 Years|Doctor|Very High|Medium|Good|Medium|Good|Skinner|Female|99864|White Collar
Asset Management|Group B|Part Time|Divorced|47|Houston|12/07/2015|Non Active|11|17|2 Years|1 Year|Masters|High|Low|Excellent|High|Better|Ferrell|Male|92670|Other
Customer Relations|Group D|Part Time|Married|40|Los Angeles|05/02/2016|Active|4|19|3 Years|1 Year|Doctor|High|Medium|Excellent|High|Best|Potts|Female|108669|White Collar
Research and Development|Group D|Full Time|Married|47|Seattle|07/27/2013|Active|6|9|2 Years|2 Years|Masters|High|Very High|Low|Low|Best|Beck|Male|81554|Other
Finances|Group D|Part Time|Single|27|Houston|09/08/2017|Non Active|9|20|3 Years|3 Years|Bachelor|High|Very High|Low|High|Best|Johnson|Female|104140|Blue Collar
Customer Service|Group A|Part Time|Divorced|42|Los Angeles|10/07/2013|Non Active|7|20|1 Year|2 Years|Doctor|High|Low|Excellent|Very High|Bad|England|Male|107275|White Collar
Public Relations|Group D|Full Time|Married|57|Los Angeles|06/09/2016|Non Active|4|19|2 Years|1 Year|Masters|Low|High|Outstanding|Very High|Best|Dawson|Female|108611|White Collar
Advertising|Group D|Full Time|Single|30|New York City|05/08/2018|Active|2|18|1 Year|1 Year|Doctor|Low|Medium|Low|High|Bad|Valenzuela|Female|77954|Other
Payroll|Group C|Full Time|Single|47|Los Angeles|01/04/2014|Active|3|5|1 Year|1 Year|Bachelor|High|Low|Outstanding|High|Better|Bryant|Female|101485|Other
Customer Service|Group C|Full Time|Married|26|New York City|12/27/2014|Non Active|4|15|3 Years|2 Years|Doctor|Low|High|Good|Very High|Better|Rowe|Female|96484|Other
Customer Relations|Group A|Full Time|Single|65|New York City|03/26/2013|Non Active|1|17|3 Years|1 Year|Masters|Low|Medium|Excellent|Low|Better|Kirkland|Female|87975|White Collar
Accounting|Group B|Full Time|Single|43|New York City|11/30/2015|Non Active|3|13|2 Years|1 Year|Masters|Very High|Very High|Outstanding|Medium|Bad|Hurley|Female|81814|Other
Asset Management|Group A|Full Time|Single|37|Houston|07/31/2015|Non Active|3|11|2 Years|2 Years|Bachelor|Low|Low|Low|Low|Bad|Clemons|Female|115647|Other
Quality Assurance|Group B|Part Time|Married|40|Houston|08/15/2016|Non Active|11|19|1 Year|2 Years|Masters|Medium|High|Outstanding|High|Best|Fischer|Female|111115|Blue Collar
Legal Department|Group A|Part Time|Married|65|Seattle|12/03/2017|Active|3|10|3 Years|2 Years|Masters|Low|Low|Excellent|Very High|Good|Bridges|Female|111784|White Collar
Payroll|Group C|Part Time|Single|43|Houston|07/22/2016|Non Active|9|6|1 Year|1 Year|Masters|Low|Medium|Outstanding|Low|Good|Cline|Male|73300|White Collar
Public Relations|Group A|Full Time|Single|32|New York City|05/18/2013|Non Active|1|18|3 Years|3 Years|Bachelor|High|High|Low|High|Good|Franklin|Male|115231|Blue Collar
Customer Relations|Group D|Part Time|Married|32|New York City|08/11/2014|Non Active|8|14|3 Years|3 Years|College|High|Very High|Low|High|Good|Best|Female|100892|White Collar
Customer Service|Group B|Full Time|Married|37|New York City|11/23/2016|Active|4|9|3 Years|1 Year|Bachelor|Low|High|Low|Low|Best|Cleveland|Male|74692|White Collar
Customer Relations|Group D|Part Time|Single|44|New York City|06/27/2014|Active|1|8|3 Years|2 Years|College|Medium|High|Good|Low|Better|Rasmussen|Female|107899|White Collar
Customer Relations|Group C|Part Time|Married|61|Seattle|03/11/2016|Active|4|19|3 Years|3 Years|Doctor|Very High|Very High|Good|Low|Bad|Barber|Female|99998|Blue Collar
Quality Assurance|Group B|Part Time|Divorced|48|Seattle|10/31/2017|Active|12|12|2 Years|1 Year|Masters|Low|Low|Good|Very High|Good|Chandler|Male|93552|White Collar
Quality Assurance|Group A|Full Time|Single|49|Houston|11/26/2017|Active|5|10|3 Years|1 Year|College|Low|Medium|Good|Medium|Good|Mcleod|Male|72871|Other
Payroll|Group C|Part Time|Single|59|Houston|05/08/2013|Active|5|5|3 Years|1 Year|Masters|Low|Low|Good|Very High|Best|Shepherd|Female|112576|Other
Tech Support|Group D|Part Time|Single|57|New York City|02/28/2018|Active|12|14|2 Years|1 Year|College|Medium|Medium|Outstanding|Medium|Better|Rush|Male|114278|White Collar
Customer Service|Group C|Part Time|Divorced|34|Seattle|01/23/2017|Non Active|11|19|2 Years|1 Year|Doctor|Medium|Medium|Low|Medium|Best|Bryant|Female|74215|White Collar
Tech Support|Group D|Full Time|Married|47|Los Angeles|01/20/2016|Active|8|11|1 Year|2 Years|College|Very High|High|Low|Very High|Good|Valenzuela|Female|118326|Other
Customer Service|Group C|Part Time|Single|41|Seattle|07/07/2018|Active|4|8|2 Years|3 Years|Bachelor|Medium|Medium|Excellent|Medium|Best|Hopper|Female|111401|Other
Media Relations|Group B|Full Time|Divorced|42|New York City|06/03/2016|Non Active|5|11|3 Years|2 Years|Doctor|High|Low|Outstanding|Low|Good|Nieves|Female|86621|White Collar
Public Relations|Group C|Part Time|Divorced|36|New York City|07/16/2017|Non Active|5|6|1 Year|2 Years|Bachelor|Low|High|Good|Very High|Best|Avery|Male|114258|Other
Customer Service|Group C|Full Time|Divorced|64|New York City|12/23/2016|Non Active|7|11|3 Years|3 Years|Bachelor|Very High|Medium|Good|Very High|Good|Carver|Female|108324|White Collar
Finances|Group B|Full Time|Married|47|Houston|06/10/2016|Active|7|15|2 Years|2 Years|Masters|Medium|Low|Excellent|Medium|Best|Gross|Female|103704|Other
Research and Development|Group D|Full Time|Single|27|Los Angeles|10/05/2014|Active|2|10|2 Years|3 Years|College|Very High|High|Outstanding|Very High|Better|Rodriguez|Female|106865|White Collar
Payroll|Group D|Full Time|Married|55|Houston|11/19/2014|Active|2|10|3 Years|2 Years|Doctor|Very High|Medium|Outstanding|High|Best|Castro|Male|72596|Other
Asset Management|Group C|Full Time|Single|62|Los Angeles|12/25/2018|Active|5|15|1 Year|3 Years|Masters|High|High|Good|High|Best|Guzman|Female|108960|White Collar
Advertising|Group A|Full Time|Single|38|New York City|06/13/2017|Non Active|3|20|1 Year|3 Years|Doctor|Very High|High|Low|Low|Good|Frost|Female|105125|White Collar
Tech Support|Group D|Full Time|Married|62|New York City|11/10/2018|Non Active|12|9|3 Years|3 Years|Masters|Medium|Low|Outstanding|High|Good|Raymond|Female|92407|Blue Collar
Finances|Group D|Part Time|Single|47|New York City|06/10/2014|Non Active|1|9|3 Years|1 Year|Doctor|Very High|Very High|Low|Medium|Bad|Hart|Female|119362|Blue Collar
Accounting|Group C|Full Time|Single|54|Los Angeles|08/18/2017|Active|11|14|1 Year|1 Year|Doctor|Low|Low|Low|Very High|Good|Rasmussen|Male|106204|White Collar
Payroll|Group C|Full Time|Divorced|44|New York City|07/14/2013|Non Active|3|12|3 Years|2 Years|Bachelor|Medium|Low|Good|Low|Better|Day|Male|84211|White Collar
Media Relations|Group D|Full Time|Divorced|33|Seattle|04/15/2017|Active|1|17|1 Year|1 Year|Masters|Very High|High|Outstanding|High|Bad|Jennings|Female|101574|White Collar
Public Relations|Group A|Part Time|Divorced|35|Los Angeles|11/05/2018|Non Active|11|16|3 Years|2 Years|College|Medium|Very High|Good|Low|Best|Alston|Male|98730|Other
Tech Support|Group B|Part Time|Married|58|Seattle|10/11/2015|Active|5|5|3 Years|2 Years|Masters|Very High|High|Good|Medium|Good|Peck|Female|79536|Other
Customer Relations|Group B|Full Time|Divorced|51|Houston|08/27/2017|Non Active|10|16|3 Years|2 Years|College|Low|High|Outstanding|High|Best|Hays|Female|74374|White Collar
Customer Relations|Group B|Full Time|Single|54|Seattle|01/24/2016|Non Active|8|7|3 Years|3 Years|Masters|Very High|Medium|Excellent|Low|Bad|Underwood|Female|76314|White Collar
Public Relations|Group B|Full Time|Divorced|28|New York City|11/28/2016|Non Active|3|9|2 Years|1 Year|Bachelor|Low|Medium|Excellent|Medium|Bad|Randall|Male|97761|Blue Collar
Advertising|Group D|Part Time|Married|62|Houston|01/20/2018|Non Active|2|14|1 Year|3 Years|Masters|High|Very High|Excellent|Very High|Bad|Gonzales|Female|72258|Other
Customer Relations|Group A|Part Time|Single|55|New York City|10/10/2018|Active|4|16|3 Years|2 Years|Bachelor|Low|Low|Excellent|Medium|Good|Harrell|Female|112695|Other
Finances|Group D|Part Time|Single|47|Seattle|12/07/2018|Non Active|4|10|2 Years|3 Years|Bachelor|Very High|Very High|Excellent|High|Better|Case|Male|117532|Blue Collar
Media Relations|Group D|Full Time|Divorced|25|Houston|04/26/2013|Non Active|5|10|1 Year|2 Years|Masters|Low|Medium|Outstanding|Medium|Bad|Hoover|Male|76282|White Collar
Sales and Marketing|Group A|Part Time|Married|61|Houston|12/20/2016|Active|8|19|3 Years|3 Years|Masters|High|Low|Low|High|Best|Hooper|Female|106190|Other
Customer Service|Group B|Full Time|Single|63|Seattle|12/14/2015|Active|9|20|2 Years|1 Year|Masters|Low|Low|Outstanding|Medium|Better|Lara|Female|84823|Other
Human Resources|Group B|Part Time|Divorced|62|New York City|08/05/2018|Active|2|19|1 Year|2 Years|College|Low|Medium|Outstanding|Very High|Better|Torres|Male|103711|Blue Collar
Customer Relations|Group C|Full Time|Divorced|50|Seattle|08/13/2015|Non Active|9|16|3 Years|1 Year|Doctor|Very High|Very High|Good|Medium|Good|Gill|Male|77154|Blue Collar
Quality Assurance|Group D|Part Time|Married|59|Seattle|10/28/2017|Non Active|7|19|2 Years|2 Years|Bachelor|Medium|Medium|Good|Medium|Good|Hodges|Male|85748|Other
Media Relations|Group A|Full Time|Divorced|49|Seattle|03/19/2016|Active|6|5|2 Years|2 Years|Bachelor|High|Low|Low|Low|Better|Cain|Male|74492|Blue Collar
Advertising|Group C|Part Time|Married|49|Los Angeles|02/16/2015|Non Active|11|9|1 Year|3 Years|Masters|Medium|Very High|Good|Very High|Best|Jenkins|Female|104257|Other
Quality Assurance|Group B|Part Time|Married|51|New York City|11/05/2014|Active|8|18|3 Years|2 Years|Doctor|High|Medium|Good|Low|Best|Harrison|Male|97596|Blue Collar
